DateTime,Entries,UniqueIPs
1639579472,6496,6530
1639580189,6494,6528
1639580909,6494,6528
1639581871,6492,6526
1639582589,6502,6536
1639583311,6502,6536
1639584037,6507,6542
1639584749,6509,6544
1639585468,6508,6543
1639586187,6509,6544
1639586909,6511,6546
1639587627,6514,6549
1639588351,6511,6546
1639589070,6515,6550
1639589792,6516,6551
1639590753,6515,6550
1639591472,6522,6557
1639592189,6517,6552
1639592909,6523,6558
1639593630,6516,6551
1639594346,6520,6555
1639595068,6520,6555
1639595790,6519,6554
1639596508,6517,6552
1639597230,6517,6552
1639597946,6523,6558
1639598671,6519,6553
1639599390,6508,6542
1639600110,6507,6542
1639600851,6511,6546
1639602022,6505,6540
1639602741,6511,6545
1639603466,6514,6548
1639604186,6513,6547
1639604895,6515,6549
1639605854,6514,6548
1639606570,6509,6543
1639607534,6512,6546
1639608251,6507,6541
1639608971,6509,6543
1639609931,6510,6544
1639610658,6509,6543
1639611371,6510,6544
1639612089,6512,6546
1639612821,6515,6549
1639613530,6512,6546
1639614255,6510,6544
1639614970,6512,6546
1639615688,6513,6547
1639616414,6509,6543
1639617151,6507,6541
1639617873,6508,6542
1639618593,6504,6538
1639619309,6500,6534
1639620046,6499,6533
1639620756,6499,6533
1639621474,6498,6532
1639622192,6497,6531
1639622912,6486,6520
1639623643,6489,6523
1639624348,6489,6523
1639625073,6486,6520
1639625791,6483,6517
1639626507,6479,6513
1639627242,6483,6517
1639627952,6479,6513
1639628676,6478,6512
1639629387,6476,6510
1639630113,6473,6507
1639630845,6473,6507
1639631556,6471,6505
1639632274,6474,6508
1639632994,6472,6506
1639633710,6473,6507
1639634436,6471,6505
1639635156,6475,6509
1639635872,6473,6507
1639636595,6478,6512
1639637559,6475,6509
1639638279,6470,6504
1639638994,6473,6507
1639639707,6474,6508
1639640434,6474,6508
1639641149,6474,6508
1639641869,6476,6510
1639642589,6475,6509
1639643309,6473,6507
1639644028,6476,6510
1639644747,6474,6508
1639645468,6479,6513
1639646188,6481,6515
1639647149,6482,6516
1639647869,6480,6514
1639648588,6481,6515
1639649309,6484,6518
1639650029,6483,6517
1639650746,6484,6518
1639651471,6482,6516
1639652187,6480,6514
1639652909,6481,6515
1639653629,6475,6509
